EYFP	mKate
23.800001	14.58
26.35	27.540001
7440.050293	26692.74023
30.6	12.15
68.849998	2.43
346.800018	187.110001
3479.050049	1281.420044
15.3	6.48
0.85	12.15
8023.150391	8877.599609
28.900002	8.1
280.5	293.220001
5.95	8.1
38.25	25.92
4.25	18.629999
10.200001	7.29
647.700012	333.720001
8379.299805	12272.30957
6.8	8.91
34.850002	22.68
4.25	22.68
3615.050049	2517.47998
490.450012	61.560001
12.75	30.780001
4051.100098	7533
19.550001	7.29
862.75	2489.130127
18101.59961	3849.929932
4.25	33.209999
1.7	19.440001
6.8	6.48
2110.550049	2034.719971
1629.450073	2668.949951
1482.400024	1308.150024
238.850006	115.830002
2565.300049	2162.699951
34	19.440001
32.299999	12.15
17623.05078	35986.67969
1919.300049	1945.619995
111.350006	17.82
1029.349976	264.869995
20171.34961	14294.87988
22.950001	7.29
19.550001	26.73
382.5	228.419998
680	428.48999
4301	7244.640137
23.800001	6.48
1.7	23.49
78.200005	27.540001
1.7	8.1
1428.850098	1573.829956
64.599998	5.67
11.05	8.1
16.15	8.1
6226.25	14899.9502
89.25	11.34
416.5	311.040009
37.400002	19.440001
30.6	17.01
35.700001	9.72
17	12.15
8.5	11.34
2518.550049	2796.929932
2412.300049	3508.110107
16.15	31.59
17	38.07
121.550003	102.870003
809.200012	1288.709961
5534.350098	7829.459961
52.700001	0.81
67.150002	85.860001
17.85	15.39
249.900009	110.970001
4473.550293	4995.27002
383.350006	378.269989
35.700001	7.29
1904.850098	3981.149902
6.8	4.05
175.950012	133.649994
115.600006	172.529999
25.5	10.53
31.450001	17.82
765	605.880005
17	2.43
2.55	12.15
11.05	4.05
1858.950073	5603.580078
224.400009	179.009995
1898.050049	5238.27002
49.300003	34.02
608.600037	393.660004
779.450012	1760.130005
18.700001	25.92
362.950012	115.830002
26.35	2.43
6574.75	15715.62012
221.850006	210.600006
456.450012	358.019989
493	347.48999
3685.600098	4804.109863
25.5	23.49
39.950001	30.780001
6876.5	4183.649902
154.699997	482.76001
5.95	8.91
379.950012	302.130005
1405.900024	1783.619995
1233.349976	3891.23999
1110.950073	1456.380005
1180.650024	1741.5
175.100006	166.860001
8003.600098	15998.30957
28.050001	17.82
32.299999	7.29
721.650024	388.799988
89.25	11.34
1174.700073	1952.910034
1688.950073	1154.25
114.75	54.27
561.850037	357.209991
34	12.96
97325.85156	88491.6875
3694.100098	4493.069824
19.550001	3.24
872.950012	310.230011
1902.300049	3655.530029
531.25	246.240005
11.05	12.15
47.600002	43.740002
147.900009	17.01
7.65	23.49
17.85	30.780001
240.550003	114.209999
30.6	9.72
351.900024	1985.310059
1275.849976	1823.310059
1003	2961.360107
14.450001	4.05
1160.25	911.25
935.850037	993.059998
33.150002	43.740002
50.150002	24.299999
4752.350098	7405.830078
43.350002	17.82
30.6	32.400002
6.8	4.05
15.3	2.43
1053.150024	321.570007
17	9.72
25.5	28.35
26.35	44.549999
17	13.77
22857.35156	24101.55078
829.600037	1082.160034
0.85	15.39
14594.5	39644.64063
3423.800049	4442.040039
3215.550049	3889.620117
39.100002	11.34
30.6	8.91
1399.100098	810.809998
6.8	1.62
11.900001	8.91
273.700012	262.440002
14.450001	17.82
25.5	4.86
2130.100098	1346.219971
179.350006	127.169998
17800.70117	27613.71094
6503.350098	8923.770508
13.6	13.77
7.65	26.73
10480.5	12834.4502
19.550001	33.209999
8.5	9.72
2161.550049	1808.72998
206.550003	130.410004
14.450001	15.39
11.900001	21.870001
15.3	4.86
872.100037	1308.150024
1.7	4.05
28047.45117	19173.50977
22.1	30.780001
34	24.299999
4814.399902	5894.370117
665.550049	660.960022
627.299988	960.659973
20633.75	35604.35938
889.950012	1701
3706.850098	3337.199951
12.75	17.82
87.550003	30.780001
16.15	3.24
239.700012	249.479996
265.200012	132.029999
30.6	15.39
23.800001	1.62
45.050003	16.200001
274.550018	44.549999
25.5	8.1
901.850037	418.769989
90.100006	60.75
2221.900146	944.460022
5298.900391	11941.83008
2465	4412.069824
10.200001	12.96
17	7.29
5172.25	3709.800049
1026.800049	180.630005
34	17.01
3800.350098	4774.950195
36.549999	7.29
26.35	35.639999
30.6	23.49
29.75	4.05
17.85	3.24
168.300003	38.880001
1469.650024	562.950012
4761.700195	11768.49023
30.6	21.059999
158.100006	228.419998
226.950012	51.029999
73.099998	24.299999
1930.350098	3539.699951
37.400002	1.62
1390.600098	4548.959961
5521.600098	2638.169922
2104.600098	1674.27002
2125.850098	315.899994
194.650009	51.84
17.85	21.870001
1766.300049	2276.909912
3291.200195	2214.540039
6475.300293	14333.75977
11.900001	20.25
356.150024	717.659973
6817	12145.13965
2713.200195	1223.910034
4567.899902	5158.080078
7.65	25.92
42.5	33.209999
5556.450195	11041.91992
40.800003	2.43
25.5	59.130001
62.050003	51.029999
2074	2787.209961
8.5	19.440001
7803.850098	21479.58008
32.299999	14.58
18.700001	19.440001
160.650009	671.48999
14.450001	34.830002
32.299999	20.25
22.950001	16.200001
946.900024	934.73999
56.950001	2.43
2022.150024	2877.120117
59.5	32.400002
6.8	10.53
11832	5218.02002
24.650002	18.629999
3.4	25.92
148.75	55.889999
39.950001	21.870001
78.200005	45.360001
1502.800049	2244.51001
726.75	409.049988
18.700001	9.72
9.35	2.43
9554	16029.90039
